Fund,Date,Close Price
TSLA,2013-09-30,12.8913
TSLA,2013-08-30,11.2667
TSLA,2013-07-31,8.9520
TSLA,2013-06-28,7.1573
TSLA,2013-05-31,6.5173
TSLA,2013-04-30,3.5993
TSLA,2013-03-28,2.5260
TSLA,2013-02-28,2.3220
TSLA,2013-01-31,2.5007
TSLA,2012-12-31,2.2580
TSLA,2012-11-30,2.2547
TSLA,2012-10-31,1.8754
TSLA,2012-09-28,1.9520
TSLA,2012-08-31,1.9013
TSLA,2012-07-31,1.8280
TSLA,2012-06-29,2.0860
TSLA,2012-05-31,1.9667
TSLA,2012-04-30,2.2087
TSLA,2012-03-30,2.4827
TSLA,2012-02-29,2.2273
TSLA,2012-01-31,1.9380
TSLA,2011-12-30,1.9040
TSLA,2011-11-30,2.1827
TSLA,2011-10-31,1.9580
TSLA,2011-09-30,1.6260
TSLA,2011-08-31,1.6493
TSLA,2011-07-29,1.8780
TSLA,2011-06-30,1.9420
TSLA,2011-05-31,2.0093
TSLA,2011-04-29,1.8400
TSLA,2011-03-31,1.8500
TSLA,2011-02-28,1.5927
TSLA,2011-01-31,1.6067
TSLA,2010-12-31,1.7753
TSLA,2010-11-30,2.3553
TSLA,2010-10-29,1.4560
TSLA,2010-09-30,1.3603
TSLA,2010-08-31,1.2987
TSLA,2010-07-30,1.3293
